NP Entry ID,Study ID,DOI,Title,Year,Core NP Material,Surface Modification,Modification Type,Modification Charge,NP Type,NP Sub-Type,Lipid Core Molar Ratio,NP Shape,Size Method,HD Solvent,Size (nm),Size Group,Zeta Potential Solvent,Zeta Potential (mV),Zeta Potential Group,Zeta Potential Charge,PDI,PDI Group,Incubation Protein Source,Incubation Media Additives,Incubation Media,Incubation Protein Concentration (%-v/v),Plasma Concentation Group,NP Solution Concentration,NP Solution Concentration Units,Dispersion medium Volume (µL),Final NP Incubation Mass (mg),Mass Group,Incubation time (min),Incubation time Group,Shaking or AgitationDuring Incubation,Incubation Temp (°C),NP-PC Isolation Method,Extraction Centrifugation Speed (xg),Isolation Temperature (°C),Extraction Centrifugation Time (min),Number of Washing Steps,Exposure type,Species,Protein Composition Units,No Proteins Identified,Protein Entry No,Study ID,APOE,APOB,CO3,CLUS
A193,A17,https://doi.org/10.1038/nnano.2013.236,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,TEM,N/A,144.8,100~150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A193,A17,9021,128116,21889,7400
A194,A17,https://doi.org/10.1038/nnano.2013.237,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A194,A17,6971,79646,61145,5285
A195,A17,https://doi.org/10.1038/nnano.2013.238,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A195,A17,5922,72147,61824,3825
A196,A17,https://doi.org/10.1038/nnano.2013.239,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A196,A17,7274,72166,49807,6213
A197,A17,https://doi.org/10.1038/nnano.2013.240,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A197,A17,10030,84369,44944,6585
A198,A17,https://doi.org/10.1038/nnano.2013.241,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A198,A17,10543,67900,48168,7368
A199,A17,https://doi.org/10.1038/nnano.2013.242,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A199,A17,10897,83938,43309,7325
A200,A17,https://doi.org/10.1038/nnano.2013.243,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A200,A17,11634,70419,36083,8194
A201,A17,https://doi.org/10.1038/nnano.2013.244,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A201,A17,10675,83157,35829,8990
A202,A17,https://doi.org/10.1038/nnano.2013.245,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,TEM,N/A,129,100~150,Human Plasma,-28,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A202,A17,11417,88186,33961,8532
A203,A17,https://doi.org/10.1038/nnano.2013.246,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A203,A17,7423,82636,49914,5337
A204,A17,https://doi.org/10.1038/nnano.2013.247,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A204,A17,7886,64023,66953,5307
A205,A17,https://doi.org/10.1038/nnano.2013.248,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A205,A17,7887,63602,65887,4144
A206,A17,https://doi.org/10.1038/nnano.2013.249,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A206,A17,9390,75155,42679,5075
A207,A17,https://doi.org/10.1038/nnano.2013.250,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A207,A17,9670,84544,34976,4017
A208,A17,https://doi.org/10.1038/nnano.2013.251,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A208,A17,13111,98068,31606,5686
A209,A17,https://doi.org/10.1038/nnano.2013.252,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A209,A17,13443,101294,30812,8107
A210,A17,https://doi.org/10.1038/nnano.2013.253,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A210,A17,12330,99463,31149,7594
A211,A17,https://doi.org/10.1038/nnano.2013.254,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,TEM,N/A,141,100~150,Human Plasma,-21,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A211,A17,13746,96776,21822,8779
A212,A17,https://doi.org/10.1038/nnano.2013.201,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A212,A17,6270,186876,48992,5009
A213,A17,https://doi.org/10.1038/nnano.2013.202,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A213,A17,6279,175657,48238,5834
A214,A17,https://doi.org/10.1038/nnano.2013.203,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A214,A17,5567,167790,49238,3177
A215,A17,https://doi.org/10.1038/nnano.2013.204,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A215,A17,5889,164478,46473,4318
A216,A17,https://doi.org/10.1038/nnano.2013.205,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A216,A17,5549,158498,48532,3616
A217,A17,https://doi.org/10.1038/nnano.2013.206,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A217,A17,5958,169575,54981,3160
A218,A17,https://doi.org/10.1038/nnano.2013.207,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A218,A17,6026,176401,53727,3066
A219,A17,https://doi.org/10.1038/nnano.2013.208,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A219,A17,6458,182267,52033,4671
A220,A17,https://doi.org/10.1038/nnano.2013.209,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,72,50~100,Human Plasma,-10,-10~+10,Neutral,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A220,A17,6475,190608,50193,4455
A221,A17,https://doi.org/10.1038/nnano.2013.210,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A221,A17,5167,120090,55819,3162
A222,A17,https://doi.org/10.1038/nnano.2013.211,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A222,A17,4774,103680,57141,3062
A223,A17,https://doi.org/10.1038/nnano.2013.212,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A223,A17,5357,147268,55701,2013
A224,A17,https://doi.org/10.1038/nnano.2013.213,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A224,A17,5669,161709,49352,2658
A225,A17,https://doi.org/10.1038/nnano.2013.214,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A225,A17,5615,153620,46910,2631
A226,A17,https://doi.org/10.1038/nnano.2013.215,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A226,A17,5483,150166,54406,2345
A227,A17,https://doi.org/10.1038/nnano.2013.216,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A227,A17,5553,146440,50479,3828
A228,A17,https://doi.org/10.1038/nnano.2013.217,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A228,A17,5863,158221,47152,3955
A229,A17,https://doi.org/10.1038/nnano.2013.218,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,69,50~100,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A229,A17,5868,178347,42958,3880
A230,A17,https://doi.org/10.1038/nnano.2013.219,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A230,A17,6134,87271,64142,5676
A231,A17,https://doi.org/10.1038/nnano.2013.220,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A231,A17,8159,92179,63791,6634
A232,A17,https://doi.org/10.1038/nnano.2013.221,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A232,A17,9919,110443,52030,7428
A233,A17,https://doi.org/10.1038/nnano.2013.222,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A233,A17,9615,153378,48897,5728
A234,A17,https://doi.org/10.1038/nnano.2013.223,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A234,A17,9948,148351,44685,6924
A235,A17,https://doi.org/10.1038/nnano.2013.224,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A235,A17,10001,142436,45961,6355
A236,A17,https://doi.org/10.1038/nnano.2013.225,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A236,A17,10712,128625,38155,7193
A237,A17,https://doi.org/10.1038/nnano.2013.226,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A237,A17,10546,159330,35565,7087
A238,A17,https://doi.org/10.1038/nnano.2013.227,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,75,50~100,Human Plasma,-15,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A238,A17,8988,160950,31572,7797
A239,A17,https://doi.org/10.1038/nnano.2013.228,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,0.5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A239,A17,8610,58115,54830,5691
A240,A17,https://doi.org/10.1038/nnano.2013.229,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,2,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A240,A17,8334,54295,53790,4930
A241,A17,https://doi.org/10.1038/nnano.2013.230,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,5,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A241,A17,9307,60682,49130,5333
A242,A17,https://doi.org/10.1038/nnano.2013.231,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,15,<30,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A242,A17,11785,56483,61347,5465
A243,A17,https://doi.org/10.1038/nnano.2013.232,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,30,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A243,A17,11729,75230,55294,4844
A244,A17,https://doi.org/10.1038/nnano.2013.233,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,60,30~60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A244,A17,11336,65222,27705,4949
A245,A17,https://doi.org/10.1038/nnano.2013.234,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,120,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A245,A17,11669,54682,34586,10688
A246,A17,https://doi.org/10.1038/nnano.2013.235,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,240,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A246,A17,9808,139619,34251,7503
A247,A17,https://doi.org/10.1038/nnano.2013.236,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,2013,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,Human Plasma,172,>150,Human Plasma,-18,-50~-10,Negative,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,60,ug,Not Reported,0.06,0~5,480,>60,N,37,DG Centrifugation,15300,4,20,3,in vitro,Human,ppm,4,A247,A17,9021,128116,21889,7400
